epoch,resolution,fading,d_loss,g_loss
1.0,4.0,False,-0.5056215524673462,1.483110427856445
2.0,4.0,False,0.0948389768600463,0.7767947316169739
3.0,4.0,False,-1.014045000076294,2.731707572937012
4.0,4.0,False,0.76971435546875,-0.2614979743957519
5.0,4.0,False,2.3847928047180176,-0.2356818318367004
6.0,4.0,False,0.4710733294486999,1.0017011165618896
7.0,4.0,False,2.49477767944336,0.4942072033882141
8.0,4.0,False,1.072280764579773,0.2144117802381515
9.0,4.0,False,0.9763731956481934,1.3219114542007446
10.0,4.0,False,1.4761271476745603,1.2487850189208984
11.0,4.0,False,1.2336252927780151,0.5790563225746155
12.0,4.0,False,0.5637264847755432,1.40872061252594
13.0,4.0,False,11.041342735290527,1.2384904623031616
14.0,4.0,False,0.7931426763534546,-0.4368348717689514
15.0,4.0,False,3.7936911582946777,-1.5428824424743652
16.0,4.0,False,1.2935609817504885,3.178019762039185
17.0,4.0,False,2.5670289993286133,-2.0743324756622314
18.0,4.0,False,1.1329312324523926,0.985166311264038
19.0,4.0,False,1.8056100606918333,-0.3521762788295746
20.0,4.0,False,0.8582100868225098,2.278092622756958
21.0,4.0,False,1.1565858125686646,-1.6797256469726562
22.0,4.0,False,0.4118099212646484,0.3451018333435058
23.0,4.0,False,-45.05270385742188,69.63526916503906
24.0,4.0,False,-7.748348236083984,15.139070510864258
25.0,4.0,False,-0.505595326423645,3.4663755893707275
26.0,4.0,False,1.5824145078659058,0.9091598987579346
27.0,4.0,False,1.3709399700164795,0.4378232359886169
28.0,4.0,False,0.8065761923789978,0.630504846572876
29.0,4.0,False,0.4901287853717804,0.4924650490283966
30.0,4.0,False,0.5976973176002502,1.0723539590835571
31.0,4.0,False,0.2536429762840271,1.1433433294296265
32.0,4.0,False,0.9271743297576904,0.0495633482933044
33.0,4.0,False,0.7922313213348389,0.3927866518497467
34.0,4.0,False,0.8636614084243774,0.6783365607261658
35.0,4.0,False,-0.069585308432579,1.8359019756317136
36.0,4.0,False,0.2338746190071106,1.7613632678985596
37.0,4.0,False,-0.3204540312290191,2.320108413696289
38.0,4.0,False,-0.2512427568435669,2.281500101089477
39.0,4.0,False,-0.4742436707019806,2.3300492763519287
40.0,4.0,False,-0.6534172296524048,3.0588974952697754
41.0,4.0,False,-0.4419230222702026,2.628242492675781
42.0,4.0,False,0.6362248659133911,2.87464451789856
43.0,4.0,False,0.1396234035491943,2.624352216720581
44.0,4.0,False,0.2350987792015075,3.001851797103882
45.0,4.0,False,0.4773308038711548,3.31033992767334
46.0,4.0,False,1.0409891605377195,3.722593307495117
47.0,4.0,False,0.4566885530948639,1.6890767812728882
48.0,4.0,False,1.693445324897766,1.8066831827163696
49.0,4.0,False,0.8919575214385986,4.606166839599609
50.0,4.0,False,0.5468149185180664,5.574745655059815
51.0,4.0,False,3.712130546569824,3.6121435165405273
52.0,4.0,False,0.1064740717411041,4.865306854248047
53.0,4.0,False,0.0244078934192657,5.580020427703857
